Place,TravelCost,StayCost,SightseeingCost,TotalCost
Kanyakumari,3075,4722,4523,12320
Bikaner,4054,4898,2962,11914
Itanagar,6418,2610,1077,10105
Cherrapunji,6894,5815,3363,16072
Majuli,2516,6474,2137,11127
Bodh Gaya,1071,10892,1049,13012
Solapur,9076,6713,647,16436
Sikkim,3147,5293,1566,10006
Rishikesh,8687,9193,864,18744
Munnar,4125,10656,4930,19711
Nagpur,5927,11552,3546,21025
Khajuraho,7860,10509,4554,22923
Alibag,7350,9990,3810,21150
Pelling,7257,11159,2621,21037
Shillong,5849,11359,2516,19724
Bundi,9915,1915,3990,15820
Jorhat,5803,4984,1507,12294
Ziro,8463,2191,1045,11699
Kodaikanal,4366,2898,2160,9424
Amritsar,7748,11322,2869,21939
Tawang,9692,9994,538,20224
Tuting,5495,2816,2267,10578
Nainital,1451,7694,4427,13572
Mawsynram,8507,8586,4123,21216
Sikkim,5764,8433,2894,17091
Khajuraho,1199,6567,1269,9035
Manali,7493,7727,679,15899
Nalanda,7936,11560,2746,22242
Ziro,9962,9532,4865,24359
Nalanda,9540,7528,3383,20451
Satara,8739,2094,648,11481
Chittorgarh,3374,7918,1399,12691
Alibag,9283,8504,1214,19001
Tawang,8571,2762,3632,14965
Hampi,4367,3219,3471,11057
Jorhat,5629,4698,1041,11368
Mechuka,8658,3328,3021,15007
Rajasthan,8051,2244,1141,11436
Tezpur,1344,3258,2213,6815
Jaisalmer,6242,1950,4194,12386
Hyderabad,9892,6594,1953,18439
Cherrapunji,8444,1998,4759,15201
Konark,5862,11114,1451,18427
Guwahati,8256,4322,1448,14026
Hyderabad,6623,3992,2628,13243
Kovalam,3365,2864,1250,7479
Rajasthan,9578,3744,1558,14880
Varanasi,3009,7675,4642,15326
Ajanta,4640,1787,4715,11142
Majuli,7125,6790,526,14441
Jabalpur,3099,8237,2247,13583
Dirang,8019,10537,2782,21338
Bodh Gaya,4285,4180,624,9089
Bangalore,2882,6051,1661,10594
Jaisalmer,2387,9757,1221,13365
Sanchi,5591,4886,1778,12255
Mount Abu,3619,7784,1647,13050
Cherrapunji,2468,11390,4130,17988
Delhi,2784,8944,4505,16233
Tawang,9051,7977,1065,18093
Sanchi,8267,10433,4575,23275
Pondicherry,9894,5142,3423,18459
Ajanta,9478,8711,1879,20068
Kaziranga,1849,5325,3066,10240
Udaipur,2903,9431,4567,16901
Andaman,6335,1644,1258,9237
Tuting,6743,10247,4865,21855
Darjeeling,8242,11801,3182,23225
Alibag,8377,11267,3302,22946
Pune,7168,6646,2061,15875
Alibag,1082,8551,1143,10776
Along,8349,6453,3493,18295
Patna,1219,2973,4941,9133
Nagpur,4230,5145,3966,13341
Pondicherry,5320,5258,623,11201
Patna,3480,8469,1629,13578
Ellora,2050,3534,1787,7371
Along,9628,4420,3093,17141
Along,5617,3336,4788,13741
Nashik,2719,11957,2858,17534
Tuting,9844,2719,4915,17478
Patna,2656,5835,4600,13091
Haridwar,9216,5203,1525,15944
Alleppey,8634,3281,4693,16608
Kolhapur,9047,11655,696,21398
Orchha,2260,1949,592,4801
Agra,7971,9130,4739,21840
Mahabalipuram,7117,6665,2203,15985
Khonsa,6104,3358,2084,11546
Khajuraho,8999,10547,3496,23042
Mahabalipuram,9886,5993,2616,18495
Satara,6510,11604,2556,20670
Kaziranga,7262,11063,2247,20572
Zemithang,4695,5041,1210,10946
Bundi,6609,8380,2445,17434
Shillong,3121,10041,2167,15329
Chitrakoot,7120,3441,844,11405
Varanasi,3219,9626,3080,15925
Chitrakoot,8378,7528,1276,17182
Nagpur,4470,8582,3027,16079
Sikkim,2695,4540,1854,9089
Ratnagiri,1177,3926,1784,6887
Lakshadweep,7762,6558,518,14838
Roing,7495,11783,3669,22947
Konark,8912,5438,1935,16285
Kaziranga,6400,3339,1720,11459
Gangtok,1598,1625,4181,7404
Mawsynram,3482,7175,2314,12971
Solapur,8075,1978,4251,14304
Hampi,4748,9609,4700,19057
Bikaner,3544,8717,2423,14684
Pelling,7040,11853,2774,21667
Kodaikanal,6670,2743,2186,11599
Nainital,2965,2592,1132,6689
Rajgir,9271,9585,4331,23187
Khajuraho,6555,5276,3131,14962
Shillong,6314,7759,2965,17038
Diu,7527,2116,673,10316
Coorg,8295,6499,1154,15948
Ajanta,1783,5761,4763,12307
Pune,2520,7534,1425,11479
Diu,9583,5552,4839,19974
Orchha,1634,2398,1472,5504
Sikkim,7510,4568,1243,13321
Coorg,5062,9187,1095,15344
Udaipur,1675,9276,4884,15835
Alleppey,3506,3474,3010,9990
Pune,6121,6406,3026,15553
Chitrakoot,7213,2559,2707,12479
Kovalam,8429,11082,843,20354
Shimla,2794,4794,3563,11151
Agra,9668,9132,604,19404
Manali,2043,9605,790,12438
Chitrakoot,3911,5564,1136,10611
Shirdi,7285,7067,3736,18088
Khandala,2429,10289,945,13663
Pune,2021,11233,1350,14604
Amarkantak,5267,6375,4570,16212
Daman,3152,2868,693,6713
Chitrakoot,8752,7070,4773,20595
Lonavala,2067,9474,4072,15613
Ratnagiri,3386,10446,819,14651
Bomdila,8245,10605,3643,22493
Patna,2994,6474,3291,12759
Khajuraho,7497,3541,582,11620
Nalanda,8502,9651,920,19073
Ranthambore,2257,7685,4063,14005
Agra,9244,1609,4722,15575
Kolhapur,4813,4197,2631,11641
Ziro,3597,5353,1216,10166
Manali,7097,5082,911,13090
Pune,3321,7599,2865,13785
Jorhat,8761,8341,1582,18684
Indore,3533,6372,1502,11407
Rourkela,2712,4235,2533,9480
Rishikesh,3633,3206,2104,8943
Ratnagiri,5782,7002,929,13713
Mechuka,6406,6545,994,13945
Varanasi,5852,2866,4592,13310
Solapur,2322,6895,2598,11815
Shirdi,9501,2001,2140,13642
Gwalior,4290,6040,3419,13749
Jorhat,6793,5014,1023,12830
Kolkata,4733,8769,2339,15841
Ziro,7379,3131,1291,11801
Puri,1696,11237,4717,17650
Bikaner,7178,7236,1106,15520
Itanagar,5968,3450,1171,10589
Jorhat,8141,7201,3478,18820
Ratnagiri,1134,5725,4312,11171
Chitrakoot,4811,6934,952,12697
Delhi,1839,3452,4404,9695
Nagpur,8742,9873,4677,23292
Sanchi,5160,11579,4224,20963
Gangtok,8577,2718,841,12136
Cuttack,4422,2778,3633,10833
Bodh Gaya,6174,8561,4887,19622
Kodaikanal,8631,11863,1827,22321
Siliguri,8480,8806,3134,20420
Varanasi,2523,11116,3850,17489
Rishikesh,9963,7850,4561,22374
Along,9651,10468,3232,23351
Lonavala,2879,6432,4159,13470
Kolhapur,3276,7875,1982,13133
Shirdi,6745,6692,3891,17328
Ajanta,1192,9291,674,11157
Ratnagiri,1899,3199,764,5862
Mount Abu,9056,5121,3561,17738
Udaipur,6585,7721,4175,18481
Roing,3890,11167,3880,18937
Gwalior,1793,9451,4367,15611
Bodh Gaya,5494,1519,1931,8944
Dirang,4992,2553,4176,11721
Munnar,2179,2694,2913,7786
Pune,5257,11674,4748,21679
Aizawl,9714,10904,1551,22169
Hyderabad,4681,7272,2965,14918
Andaman,1033,10608,2803,14444
Nainital,8606,4503,2970,16079
Pasighat,7206,10206,1220,18632
Ajanta,3240,6291,2638,12169
Mawsynram,8822,10334,4743,23899
Kolhapur,9684,3782,4834,18300
Coorg,9045,8156,3819,21020
Aurangabad,2217,4424,3608,10249
Goa,6367,2365,1566,10298
Varanasi,4491,9666,4084,18241
Gwalior,2897,3979,1205,8081
Jabalpur,5197,11240,1197,17634
Rajasthan,6871,5632,669,13172
Ellora,7035,8709,2591,18335
Ooty,8712,9543,3652,21907
Khandala,6965,5821,2009,14795
Tezpur,2310,5499,3202,11011
Sikkim,6511,3431,3442,13384
Ooty,5296,6027,2379,13702
Satara,7979,11899,3037,22915
Agra,2341,4219,3388,9948
Leh,3453,7654,2072,13179
Patna,8753,6211,4402,19366
Rajgir,3984,2245,1897,8126
Udaipur,6463,5193,3222,14878
Itanagar,6735,6466,4301,17502
Bundi,2322,7006,4733,14061
Rourkela,3981,5687,1900,11568
Kovalam,6271,5920,3136,15327
Khandala,3787,2145,2232,8164
Majuli,5442,10571,4482,20495
Chennai,5551,1588,3710,10849
Dirang,5156,9157,1297,15610
Agra,5938,1732,2943,10613
Shirdi,3673,6305,659,10637
Roing,2248,7021,2577,11846
Jaipur,4340,3852,3973,12165
Bundi,8824,7252,4219,20295
Bangalore,5116,4320,3046,12482
Bhubaneswar,4341,5069,2541,11951
Bhopal,2213,8137,2180,12530
Mount Abu,3775,7952,935,12662
Chitrakoot,4253,2381,3012,9646
Roing,1804,8479,4794,15077
Ratnagiri,9816,1571,3552,14939
Udaipur,9466,4061,3040,16567
Kolkata,1003,8578,1404,10985
Darjeeling,6249,5257,643,12149
Pasighat,5248,8982,4894,19124
Rajasthan,1380,8256,1862,11498
Kolhapur,7124,7644,1598,16366
Rajgir,5812,10546,1944,18302
Gangtok,1012,4404,1624,7040
Udaipur,8964,8332,3449,20745
Tawang,5981,10215,3244,19440
Chittorgarh,7197,2302,2475,11974
Bundi,9517,4750,2389,16656
Amarkantak,7845,7000,2417,17262
Munnar,8206,8167,1863,18236
Amritsar,1945,3400,4177,9522
Indore,8954,5763,2904,17621
Kodaikanal,7099,8576,2036,17711
Shirdi,5065,10898,1636,17599
Cherrapunji,7197,4949,1772,13918
Jabalpur,9958,10371,1582,21911
Jaipur,1561,4691,1638,7890
Varanasi,3524,10113,2983,16620
Jabalpur,1876,7185,2084,11145
Nagpur,9608,8415,1969,19992
Munnar,6267,4100,1798,12165
Leh,2866,9903,3135,15904
Alleppey,5074,8024,3219,16317
Delhi,2242,10406,1713,14361
Kodaikanal,5768,3149,3631,12548
Jaisalmer,3783,4336,2049,10168
Aurangabad,7096,2834,2065,11995
Alibag,3134,10447,1168,14749
Tawang,6398,6196,2987,15581
Rourkela,3914,6939,2880,13733
Leh,5056,5462,2506,13024
Jaisalmer,6456,8977,3606,19039
Aizawl,7605,6576,4983,19164
Ooty,8006,9040,4974,22020
Puri,2962,5963,4400,13325
Kolkata,7188,9093,3242,19523
Bhubaneswar,8152,4906,3395,16453
Zemithang,1946,2746,982,5674
Gangtok,5824,8938,817,15579
Goa,1895,6250,4437,12582
Manali,1761,4922,1532,8215
Lonavala,6644,5841,794,13279
Shimla,1908,2102,2076,6086
Goa,5739,1746,1031,8516
Kodaikanal,4568,11806,3607,19981
Kodaikanal,5755,5247,1435,12437
Manali,1349,11755,939,14043
Pune,4457,3753,670,8880
Hyderabad,2262,1923,2250,6435
Haridwar,8296,5195,4579,18070
Coorg,7665,3181,1401,12247
Gangtok,3643,4247,1961,9851
Amarkantak,1495,6409,2346,10250
Rajasthan,2457,1646,3677,7780
Bodh Gaya,3572,2536,3275,9383
Ziro,6932,5091,4960,16983
Ooty,4195,9765,3782,17742
Pelling,3089,9938,2632,15659
Cuttack,9556,4523,589,14668
Mahabalipuram,3318,11454,1804,16576
Bundi,5825,3684,3615,13124
Khajuraho,8218,10443,2736,21397
Pelling,8984,9757,1780,20521
Rajasthan,6987,5410,4481,16878
Ranthambore,3774,10141,2539,16454
Aizawl,7067,8706,1742,17515
Kanyakumari,5279,10133,1042,16454
Rourkela,7150,7602,4107,18859
Kolkata,6565,3109,4545,14219
Ratnagiri,7944,8961,923,17828
Along,2548,2192,3531,8271
Chittorgarh,3794,10233,2491,16518
Shimla,4607,11508,4145,20260
Tezpur,4425,2403,4694,11522
Indore,5486,1792,3579,10857
Gangtok,8433,5959,3010,17402
Rajasthan,9530,11381,3902,24813
Lonavala,9617,11608,2811,24036
Bodh Gaya,9520,6489,1975,17984
Kanyakumari,8575,10689,902,20166
Chennai,2558,8261,1417,12236
Tezpur,2331,6410,1499,10240
Khandala,7277,8133,1637,17047
Patna,6658,5581,2321,14560
Ziro,2370,9667,4397,16434
Cherrapunji,4660,11788,2472,18920
Majuli,7739,2160,2780,12679
Sikkim,2239,8383,3876,14498
Chittorgarh,2533,8745,2934,14212
Khajuraho,7920,8260,1483,17663
Kodaikanal,3668,11730,3503,18901
Shimla,2584,4053,691,7328
Bikaner,1938,8718,3429,14085
Bangalore,2180,7162,4238,13580
Along,4198,8324,2131,14653
Mawsynram,2151,2304,1749,6204
Pune,4673,4695,959,10327
Konark,9466,1769,3493,14728
Hampi,2651,1729,1396,5776
Roing,4908,8820,3406,17134
Nagpur,3701,9013,1915,14629
Rourkela,7521,5503,3592,16616
Dirang,5691,7045,2421,15157
Siliguri,6192,4220,2093,12505
Bhopal,9083,9674,4280,23037
Rourkela,8951,8009,2100,19060
Bundi,4286,2485,2090,8861
Kalimpong,6029,9740,941,16710
Rishikesh,7133,2034,1698,10865
Roing,9440,10622,4099,24161
Ooty,2353,3246,3611,9210
Ellora,3559,10165,2503,16227
Chitrakoot,2651,8352,1369,12372
Kolhapur,4474,8491,2027,14992
Daman,7432,8074,2810,18316
Ratnagiri,7785,9496,4613,21894
Bomdila,4177,1600,1432,7209
Ranthambore,1066,9945,1723,12734
Shimla,4952,5854,1037,11843
Sanchi,1246,4173,4066,9485
Daman,4228,11520,3531,19279
Roing,8892,8000,1991,18883
Hampi,1797,5759,2014,9570
Jaisalmer,2946,1544,1350,5840
Ratnagiri,4394,8313,2814,15521
Nagpur,3015,9461,2196,14672
Varanasi,6349,3881,992,11222
Manali,8377,1965,2766,13108
Aizawl,8921,6517,3403,18841
Tawang,9054,9466,2282,20802
Mussoorie,9598,10331,2888,22817
Roing,9071,5258,4960,19289
Andaman,4897,2764,3583,11244
Jabalpur,9843,7116,4921,21880
Bhopal,1691,7705,1195,10591
Ajanta,9132,11222,4141,24495
Khajuraho,8639,6496,4684,19819
Cuttack,9613,9725,3027,22365
Cherrapunji,2695,2456,3908,9059
Bhopal,4841,7075,1144,13060
Roing,6610,6435,922,13967
Nalanda,4750,7945,771,13466
Ellora,7578,5363,3073,16014
Tuting,1365,9249,569,11183
Manali,5681,2395,4335,12411
Munnar,3432,9938,1104,14474
Nainital,6922,2238,612,9772
Leh,3072,8568,4398,16038
Kalimpong,6908,1861,1706,10475
Rourkela,9514,4985,1491,15990
Pasighat,3296,6879,4646,14821
Bikaner,3603,7081,2671,13355
Chitrakoot,8369,6909,3271,18549
Pelling,4757,3605,4975,13337
Jorhat,3483,7080,2782,13345
Nagpur,6821,1996,1893,10710
Ellora,5689,5705,1498,12892
Jaisalmer,6234,3203,4879,14316
Jaisalmer,6620,6594,1032,14246
Haridwar,5516,6631,850,12997
Siliguri,6428,6040,1828,14296
Jaisalmer,7418,6824,1396,15638
Nagpur,3797,4100,3633,11530
Siliguri,5785,5701,1330,12816
Rajgir,1693,6071,4840,12604
Munnar,2676,1888,866,5430
Amarkantak,1113,11320,1502,13935
Agra,2377,2503,2814,7694
Mount Abu,5909,9642,3703,19254
Bhopal,5872,10571,988,17431
Jaipur,2078,2861,1154,6093
Diu,5220,3545,3216,11981
Rishikesh,6965,10282,520,17767
Ranthambore,3310,6693,843,10846
Jorhat,5285,5933,2586,13804
Mawsynram,2149,8253,3981,14383
Nainital,3011,7251,3425,13687
Majuli,5138,8860,888,14886
Mechuka,6997,4509,4487,15993
Delhi,6222,11895,1113,19230
Pelling,2686,6636,1647,10969
Andaman,4050,2545,4912,11507
Konark,9807,4014,2209,16030
Jaipur,3369,7829,1738,12936
Leh,6765,4946,4856,16567
Khandala,5860,7586,3065,16511
Kaziranga,8785,11263,2090,22138
Bodh Gaya,6301,7335,722,14358
Nainital,9050,11407,876,21333
Shimla,1211,6635,870,8716
Chennai,7381,2143,992,10516
Khandala,5177,9988,2585,17750
Pelling,4742,2755,1811,9308
Pasighat,1436,8146,746,10328
Kodaikanal,7996,3841,1161,12998
Sanchi,6012,1694,667,8373
Mumbai,1586,3021,3011,7618
Along,3256,9036,2720,15012
Rourkela,6273,8981,4403,19657
Bomdila,3382,4106,2536,10024
Cherrapunji,5413,10846,2216,18475
Pelling,4231,2894,1758,8883
Zemithang,6394,3604,4456,14454
Rajgir,2767,8326,4559,15652
Varanasi,7006,5099,1817,13922
Kolkata,6550,10135,4617,21302
Roing,7052,8135,4844,20031
Imphal,2960,4878,3163,11001
Bhubaneswar,8603,5787,510,14900
Mechuka,1466,11950,1213,14629
Patna,3446,9580,1669,14695
Sanchi,1851,4601,973,7425
Shimla,3074,4238,3679,10991
Bomdila,5690,8879,1857,16426
Imphal,6321,9959,3856,20136
Ranthambore,5015,5015,3518,13548
Tezpur,2652,6897,4961,14510
Chittorgarh,4048,9008,3053,16109
Diu,4252,8074,4413,16739
Jabalpur,3402,7831,3473,14706
Jaisalmer,6835,3596,3942,14373
Pondicherry,7964,7017,4938,19919
Ajanta,2455,4006,3032,9493
Jabalpur,7565,1509,1156,10230
Solapur,2181,10719,1752,14652
Cuttack,3588,6158,4878,14624
Itanagar,3857,5564,2989,12410
Jaisalmer,4465,4407,3988,12860
Ziro,4416,1844,3097,9357
Bangalore,2799,10987,1575,15361
Tawang,7149,2856,2405,12410
Siliguri,9969,5979,4974,20922
Pune,5191,11669,3790,20650
Jaisalmer,5781,9586,3679,19046
Aizawl,5767,11337,2776,19880
Konark,1415,10699,4122,16236
Haridwar,5937,3447,2509,11893
Aurangabad,8330,11230,3960,23520
Tuting,5524,4256,4851,14631
Mahabalipuram,4619,8855,920,14394
Majuli,8844,7796,4966,21606
Ooty,3359,6094,4040,13493
Roing,2471,10231,3928,16630
Alibag,4598,8397,3737,16732
Varanasi,6112,3782,3705,13599
Munnar,6284,7591,2067,15942
Diu,9520,11663,909,22092
Khajuraho,1427,8029,3221,12677
Shimla,4596,8133,2632,15361
Ooty,2706,7015,755,10476
Roing,6394,11426,4871,22691
Agra,1689,1916,2084,5689
Mahabalipuram,8965,2829,1555,13349
Ajanta,6196,2296,838,9330
Chennai,6150,8523,4781,19454
Chitrakoot,1679,4346,2961,8986
Aurangabad,3135,3785,4339,11259
Kolkata,6254,5422,3850,15526
Mussoorie,9492,2210,1631,13333
Ratnagiri,9688,4416,4989,19093
Khonsa,6202,4552,3998,14752
Mussoorie,8049,10359,2729,21137
Zemithang,8594,1789,853,11236
Daman,3189,10014,682,13885
Diu,2936,4523,1205,8664
Haridwar,3280,8984,1105,13369
Lonavala,5209,2817,1510,9536
Puri,5462,5043,1891,12396
Zemithang,5612,4192,1768,11572
Guwahati,9851,3216,4442,17509
Pondicherry,3259,7685,4280,15224
Ellora,6705,10167,1784,18656
Tawang,9246,5662,2267,17175
Lonavala,4563,3348,4663,12574
Nainital,2353,1670,4917,8940
Pelling,8061,11629,1899,21589
Pune,6919,11025,2818,20762
Ooty,3339,5279,4433,13051
Alibag,7475,9534,4411,21420
Coorg,7178,5255,3669,16102
Amritsar,5080,6150,4210,15440
Along,4979,8683,3137,16799
Itanagar,7228,3499,1252,11979
Bangalore,9466,5184,1733,16383
Rajgir,4828,3494,1927,10249
Chittorgarh,6582,5555,2293,14430
Varanasi,6612,2516,1797,10925
Siliguri,8680,2974,2411,14065
Puri,7647,2583,1465,11695
Tezpur,6091,5851,4429,16371
Roing,4655,3220,2768,10643
Darjeeling,4193,10792,830,15815
Satara,5801,5948,1006,12755
Goa,2673,4468,4099,11240
Bundi,6793,2116,2180,11089
Ellora,3954,8221,3216,15391
Jorhat,3705,7012,1671,12388
Jaisalmer,5075,11071,869,17015
Kaziranga,5555,6902,1549,14006
Ziro,3401,4953,2233,10587
Amarkantak,9396,5211,3874,18481
Lakshadweep,1710,6616,2630,10956
Chittorgarh,9765,2269,1063,13097
Bodh Gaya,7275,7757,2067,17099
Chittorgarh,6201,5338,3019,14558
Cuttack,9133,3743,4271,17147
Tawang,5251,6157,4105,15513
Mawsynram,4022,7779,3688,15489
Khandala,9050,10919,2378,22347
Aizawl,1467,2647,813,4927
Leh,3798,8243,2333,14374
Lakshadweep,7159,10323,2678,20160
Jabalpur,9008,4483,3658,17149
Kaziranga,3276,5694,2025,10995
Kaziranga,3560,6179,4801,14540
Pune,6564,3740,1816,12120
Alleppey,4767,6628,4195,15590
Kolkata,8092,2524,3652,14268
Jaipur,8991,10300,4624,23915
Shimla,6848,6235,2205,15288
Darjeeling,7765,10648,4718,23131
Mussoorie,6420,5064,4581,16065
Roing,9694,6876,4840,21410
Khonsa,3471,9592,3598,16661
Zemithang,9540,2004,3745,15289
Pelling,6555,1995,2905,11455
Rourkela,1732,6796,1166,9694
Amritsar,6839,3760,4884,15483
Orchha,7771,9128,4579,21478
Pune,2450,2620,2506,7576
Tuting,5057,10236,4654,19947
Leh,8758,11876,2399,23033
Hampi,1806,10784,2422,15012
Pelling,7774,9649,3339,20762
Bikaner,4316,11935,4676,20927
Tuting,2602,4644,3017,10263
Rajasthan,4910,9747,837,15494
Alleppey,1100,10001,2692,13793
Varanasi,9153,6520,1390,17063
Amarkantak,6485,11292,3034,20811
Sikkim,5713,7048,4204,16965
Pune,5421,9165,4191,18777
Bhubaneswar,9266,9047,1249,19562
Aizawl,2920,3230,2945,9095
Kolhapur,4010,3707,942,8659
Jabalpur,7578,10389,4242,22209
Bikaner,1122,7164,3373,11659
Orchha,1358,2516,2551,6425
Jaipur,7658,6158,3335,17151
Indore,4335,10286,3062,17683
Amarkantak,9917,11297,4975,26189
Bundi,3739,9997,2828,16564
Khandala,3486,4838,4458,12782
Delhi,6386,8268,4168,18822
Kolkata,8339,4360,814,13513
Agra,3942,4552,3567,12061
Pondicherry,2610,9162,3570,15342
Imphal,6628,3995,4476,15099
Sanchi,6553,8432,4829,19814
Ooty,7550,9496,4848,21894
Alibag,7318,6964,1248,15530
Konark,3752,10117,1761,15630
Manali,6946,3208,1428,11582
Nashik,3009,4256,1209,8474
Ratnagiri,1424,8644,3733,13801
Kovalam,1938,10585,1904,14427
Jorhat,5639,4318,4057,14014
Rishikesh,4928,6900,536,12364
Chittorgarh,4068,11721,3213,19002
Nagpur,1434,6461,2119,10014
Bhubaneswar,7049,2726,2167,11942
Khajuraho,6865,10479,4305,21649
Jorhat,9757,9735,1613,21105
Gangtok,4992,7132,4949,17073
Nashik,9551,7910,2544,20005
Tezpur,3990,7245,717,11952
Pelling,2551,2890,2355,7796
Sanchi,8102,9915,3928,21945
Alleppey,2074,3821,2302,8197
Guwahati,2923,5298,1308,9529
Zemithang,2628,3382,4357,10367
Orchha,1347,10328,4886,16561
Tezpur,6521,7077,3776,17374
Siliguri,5193,8125,3781,17099
Daman,3272,10439,2294,16005
Gangtok,5989,5142,4421,15552
Ooty,2072,7640,2626,12338
Lakshadweep,5710,10965,3106,19781
Jabalpur,7793,2939,3692,14424
Diu,8778,7195,889,16862
Sanchi,3126,1519,2769,7414
Rourkela,2648,7735,3479,13862
Khajuraho,8991,11818,4257,25066
Andaman,8667,4495,2896,16058
Bhopal,1485,10173,738,12396
Nainital,5424,6152,1062,12638
Along,8369,10425,2501,21295
Sanchi,9111,1558,3192,13861
Daman,4797,8791,3931,17519
Aizawl,9853,3374,3233,16460
Khajuraho,3357,6796,976,11129
Ranthambore,4511,2832,3657,11000
Jaisalmer,5092,5768,2337,13197
Nalanda,4904,3299,951,9154
Jorhat,5785,11355,4459,21599
Hyderabad,7773,3105,4311,15189
Lakshadweep,7507,1727,3365,12599
Sanchi,7229,8177,2327,17733
Aurangabad,4606,1859,1993,8458
Khajuraho,2447,11751,2751,16949
Munnar,1471,8968,4228,14667
Chittorgarh,9044,4430,2470,15944
Bhopal,3636,9665,1148,14449
Konark,7217,3129,2852,13198
Darjeeling,9171,9160,2570,20901
Jorhat,5195,8848,843,14886
Haridwar,6848,10362,1854,19064
Bodh Gaya,9949,4528,3187,17664
Kaziranga,4105,6144,3072,13321
Chitrakoot,5517,11635,2820,19972
Ziro,9191,1820,2489,13500
Chittorgarh,4776,9229,994,14999
Imphal,4086,7110,4099,15295
Pasighat,6487,3429,1765,11681
Lakshadweep,7068,10831,4296,22195
Dirang,5115,4992,4527,14634
Siliguri,3901,2231,3944,10076
Mount Abu,7974,3329,1750,13053
Bundi,1627,9057,3776,14460
Itanagar,5455,10812,1686,17953
Rajasthan,6260,6056,958,13274
Amritsar,7911,10074,2378,20363
Ratnagiri,2834,9491,920,13245
Coorg,1779,8586,3061,13426
Daman,8032,8761,1949,18742
Mechuka,6103,11937,501,18541
Gwalior,2661,2835,2064,7560
Varanasi,7265,9756,3814,20835
Kolkata,8684,8633,2255,19572
Mechuka,8373,6458,3339,18170
Majuli,7692,6159,2677,16528
Kolkata,6063,6416,1447,13926
Mechuka,1137,6403,1090,8630
Bikaner,1647,7141,3718,12506
Kolkata,8658,9312,2499,20469
Guwahati,8911,3882,2120,14913
Shimla,8482,8130,3474,20086
Rajasthan,9817,9376,4515,23708
Tezpur,3890,1764,3429,9083
Siliguri,5681,10843,3384,19908
Jabalpur,5680,2906,3937,12523
Tawang,3247,2720,1016,6983
Cherrapunji,2920,8918,1595,13433
Pelling,5040,2932,566,8538
Aizawl,7304,4425,4389,16118
Hampi,9893,7898,3010,20801
Rajgir,7215,8345,1668,17228
Rishikesh,8136,6463,2298,16897
Diu,8757,6346,1262,16365
Zemithang,2317,8670,1952,12939
Ziro,6140,9395,1656,17191
Coorg,8540,2050,1282,11872
Munnar,5803,8014,3331,17148
Jaisalmer,2260,5304,2685,10249
Ajanta,2437,3163,3046,8646
Shimla,3007,2475,4524,10006
Ranthambore,4323,10880,2416,17619
Varanasi,1902,8287,3521,13710
Ellora,3101,5402,4377,12880
Haridwar,6707,2068,1525,10300
Munnar,3706,11470,1687,16863
Mussoorie,4652,10662,4924,20238
Delhi,6495,7416,4355,18266
Bikaner,4242,8103,4296,16641
Khajuraho,1134,11041,2872,15047
Solapur,6704,4956,1132,12792
Sanchi,5590,5906,3998,15494
Manali,5456,7389,4992,17837
Gangtok,7187,11556,3182,21925
Sikkim,2587,9355,2698,14640
Itanagar,7621,5952,1986,15559
Mawsynram,9233,5038,1020,15291
Bhopal,6976,10626,2722,20324
Tuting,6326,3977,2258,12561
Jabalpur,7125,11188,1983,20296
Chennai,1087,8239,3202,12528
Tezpur,4994,1651,2009,8654
Satara,4238,9117,4917,18272
Nalanda,9358,6037,859,16254
Rajasthan,5124,8806,3855,17785
Nagpur,9167,7729,1376,18272
Aizawl,2602,9087,4814,16503
Majuli,6271,7499,4251,18021
Zemithang,9002,4228,2117,15347
Delhi,4219,1740,4029,9988
Pondicherry,4701,10327,1603,16631
Bangalore,8399,5520,1488,15407
Patna,6164,3125,4786,14075
Lonavala,3697,1520,2705,7922
Kolhapur,8817,5541,3490,17848
Haridwar,5568,2297,884,8749
Khajuraho,6768,4554,2569,13891
Kolhapur,7920,7611,2464,17995
Udaipur,9590,9065,915,19570
Kolkata,7709,4113,703,12525
Jorhat,3057,3823,2656,9536
Chitrakoot,9505,8885,981,19371
Imphal,9553,7097,1808,18458
Shillong,8823,10173,3323,22319
Sanchi,7539,5233,2059,14831
Rishikesh,6034,11630,2685,20349
Rishikesh,3388,11631,4059,19078
Ziro,6489,10551,1461,18501
Kanyakumari,1226,2415,2629,6270
Kolkata,1763,4519,3350,9632
Mechuka,7862,6154,1464,15480
Pondicherry,8662,10701,3154,22517
Delhi,8485,2277,1287,12049
Jabalpur,9735,4275,3099,17109
Ranthambore,4399,7113,1685,13197
Alleppey,3379,10442,4396,18217
Majuli,3071,3204,1192,7467
Lakshadweep,1177,8016,1901,11094
Kodaikanal,4624,9195,4158,17977
Kalimpong,9101,4926,4172,18199
Nainital,8919,2790,838,12547
Indore,6829,6306,1200,14335
Ranthambore,4830,3190,1441,9461
Rajasthan,7871,2689,2461,13021
Satara,2175,10747,755,13677
Nainital,6023,2295,1445,9763
Nainital,2159,5768,2709,10636
Pune,5517,9216,2506,17239
Darjeeling,8914,11619,4534,25067
Aurangabad,3334,11093,4699,19126
Cherrapunji,4456,9663,1987,16106
Kaziranga,8643,4102,4018,16763
Roing,8489,11482,4602,24573
Aurangabad,4121,4931,718,9770
